,Num_Features,CV_Score,Train_Accuracy,Test_Accuracy,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1_Score,Test_F1_Score,Train_AUC,Test_AUC,Train_Mu,Test_Mu,Train_Sigma,Test_Sigma,Train_Sharpe,Test_Sharpe
PAC,95,0.5328366812743544,0.526355421686747,0.4819277108433735,0.5437311503662214,0.5294117647058824,0.6038277511961723,0.3358208955223881,0.5722058490138291,0.4109589041095891,0.5223468217438094,0.49399740428293315,0.016551283427640825,0.020278314098452016,0.1109402960004994,0.08849674862170223,0.14919090740091698,0.22914191102247033
Ridge,7,0.5164229401770397,0.5389056224899599,0.5431726907630522,0.5386968491893546,0.541033434650456,0.8425837320574162,0.996268656716418,0.6572121664489644,0.701247537754432,0.5231926052050544,0.5057430240103828,0.05729341853384957,0.07566454215063874,0.1306848887779696,0.12057783624604729,0.4384089015156884,0.6275161713487717
SGD,25,0.5384255908423917,0.5424196787148594,0.5391566265060241,0.5453003053953173,0.5431131019036954,0.7688995215311005,0.9048507462686567,0.6380782211633909,0.6787963610916725,0.5307010807233117,0.5089471122647632,0.05222258421226458,0.02369502741499124,0.11586472203947676,0.11408971387250019,0.4507203167023661,0.20768767499470966
Logistic Regression,2,0.5168403382892064,0.527359437751004,0.536144578313253,0.5269882659713169,0.5379098360655737,0.9669856459330144,0.9794776119402985,0.6821940928270044,0.6944444444444443,0.5046121471481334,0.4995214146658014,0.006545394068756607,0.04868621555831536,0.15853039460233548,0.11945884012504109,0.04128794408905218,0.40755640610066246
LDA,13,0.5126780646941451,0.5409136546184738,0.5381526104417671,0.5426331264292715,0.5385395537525355,0.7947368421052632,0.9906716417910447,0.6449233158609979,0.6977660972404731,0.5277802478741733,0.500770603504218,0.056670627054199445,0.06419663181869642,0.1332810339275288,0.1225795869569087,0.42519648433260165,0.5237138859120478
Random Forest,286,0.5247251460420655,0.6616465863453815,0.4919678714859438,0.6823992133726647,0.5449101796407185,0.6641148325358852,0.33955223880597013,0.6731328806983512,0.4183908045977011,0.6615188735013111,0.5045587280986372,0.273099368708548,0.01808549970616478,0.10774229369225204,0.07452064895122516,2.5347461925083103,0.24269111931649978
DTC,38,0.5305727268645756,0.5464357429718876,0.48895582329317266,0.5920624593363696,0.5268389662027833,0.4354066985645933,0.4944029850746269,0.5017921146953405,0.5101058710298364,0.5521806460088013,0.4885058403634004,0.07993654390668108,0.041369087977415814,0.10122731899480295,0.08986676732080047,0.789673624674235,0.4603380004728463
ETC,77,0.5305030793656846,0.5220883534136547,0.5200803212851406,0.5279111644657863,0.5317286652078774,0.8416267942583732,0.9067164179104478,0.6488380671338989,0.6703448275862068,0.5055546854079617,0.4881408176508761,0.019814118679892072,0.03033321091830828,0.1465290705461731,0.11170530654954972,0.13522312402608466,0.27154673180054534
AdaBoost,17,0.5335612354454029,0.6480923694779116,0.49899598393574296,0.6322059953881629,0.5266187050359712,0.7870813397129187,0.6828358208955224,0.7011935208866155,0.59463850528026,0.6409007543337562,0.4838092147955873,0.30266438065137363,-0.03343371219675622,0.12485008751902604,0.09360906767908218,2.4242224147840528,-0.3571631790135572
Extra Trees Ensemble,280,0.5218303060208381,0.6762048192771084,0.5130522088353414,0.6970443349753694,0.5349794238683128,0.6770334928229665,0.7276119402985075,0.6868932038834952,0.616600790513834,0.676161941765232,0.49532770927968856,0.3329392726775877,0.04802294391499138,0.1135125632811951,0.09283830770392978,2.9330610027087953,0.5172750893751868
Gradient Boosting,73,0.5466757313155097,0.5256024096385542,0.5381526104417671,0.5251256281407035,0.5382293762575453,1.0,0.9981343283582089,0.6886326194398682,0.6993464052287581,0.5010559662090813,0.5001541207008436,0.010874934752326038,0.05819958698887894,0.16458746025928228,0.1225995437726894,0.06607389612303542,0.47471291652427533
LSVC,4,0.5284812199951429,0.5220883534136547,0.5381526104417671,0.5346239761727476,0.541036717062635,0.6870813397129186,0.9347014925373134,0.6013400335008376,0.6853625170998633,0.5135512295185501,0.5053942245295262,0.013486225951067684,0.04364671689988007,0.10076880623242125,0.09378867367068576,0.13383334044825312,0.46537300498708434
